"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","significance"
0,-9.20505498038939,0.009,0.944,0,"AC105402.3","Oligodendrocytes","Up in Control"
0,-4.67198116941531,0.055,0.591,0,"MTRNR2L8","Oligodendrocytes","Up in Control"
0,1.33832707595763,1,0.999,0,"MALAT1","Oligodendrocytes","Up in AUD"
3.87794709109372e-276,-1.04858114589484,0.996,0.994,1.03176660305639e-271,"PCDH9","Oligodendrocytes","Up in Control"
9.37570706903762e-180,-1.35256860272415,0.935,0.958,2.49450062278815e-175,"CADM2","Oligodendrocytes","Up in Control"
2.57621142563494e-167,2.30506737067507,0.704,0.206,6.85426811904431e-163,"AL033523.1","Oligodendrocytes","Up in AUD"
8.84038047509456e-161,-6.03339455073481,0.006,0.2,2.35207162920366e-156,"CHRM5","Oligodendrocytes","Up in Control"
9.40908813172537e-147,1.07520396347668,0.898,0.423,2.50338198832685e-142,"KCNIP4","Oligodendrocytes","Up in AUD"
1.67359561226532e-126,-1.14748259637088,0.879,0.909,4.45276848599312e-122,"NKAIN2","Oligodendrocytes","Up in Control"
2.11178768947456e-123,1.32881012189957,0.803,0.41,5.618622326616e-119,"KANSL1","Oligodendrocytes","Up in AUD"
7.10210068133441e-123,-1.37997474009672,0.708,0.823,1.88958490727583e-118,"LRP1B","Oligodendrocytes","Up in Control"
3.32809839403314e-100,-2.72605404288261,0.083,0.322,8.85473858716457e-96,"MTRNR2L12","Oligodendrocytes","Up in Control"
1.54349504909299e-95,1.42504938364388,0.681,0.291,4.10662292761682e-91,"HSP90AA1","Oligodendrocytes","Up in AUD"
1.287966920309e-90,0.994993644174602,0.835,0.55,3.42676478817412e-86,"RTN4","Oligodendrocytes","Up in AUD"
4.24469536185501e-88,-1.43423325554734,0.5,0.692,1.12934364797514e-83,"ADGRL3","Oligodendrocytes","Up in Control"
5.06929102021996e-88,0.914984041188154,0.706,0.29,1.34873556883972e-83,"SYT1","Oligodendrocytes","Up in AUD"
9.34191027356229e-86,1.67549377198424,0.524,0.142,2.48550864738398e-81,"MEG3","Oligodendrocytes","Up in AUD"
4.21152344337574e-85,-1.05292647248793,0.796,0.855,1.12051792734455e-80,"NCAM2","Oligodendrocytes","Up in Control"
4.46331243116492e-81,0.953046780043108,0.809,0.508,1.18750890543574e-76,"ZNF638","Oligodendrocytes","Up in AUD"
